timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764782536300,1035,HTTP Request,200,OK,Test Youtube 1-9,text,true,,714075,232,1,2,https://www.youtube.com/,151,0,95
1764782536300,151,HTTP Request-0,301,Moved Permanently,Test Youtube 1-9,text,true,,1591,114,1,2,https://youtube.com/,151,0,95
1764782536452,883,HTTP Request-1,200,OK,Test Youtube 1-9,text,true,,712484,118,1,2,https://www.youtube.com/,223,0,77
1764782536711,1331,HTTP Request 1,200,OK,Test facebook 2-11,text,true,,73302,234,2,3,https://www.facebook.com/,590,0,196
1764782536711,590,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-11,text,true,,493,115,2,3,https://facebook.com/,590,0,196
1764782537302,740,HTTP Request 1-1,200,OK,Test facebook 2-11,text,true,,72809,119,2,3,https://www.facebook.com/,534,0,89
1764782537710,1153,HTTP Request 1,200,OK,Test facebook 2-12,text,true,,73319,234,2,4,https://www.facebook.com/,357,0,160
1764782537710,357,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-12,text,true,,494,115,2,4,https://facebook.com/,357,0,160
1764782538067,796,HTTP Request 1-1,200,OK,Test facebook 2-12,text,true,,72825,119,2,4,https://www.facebook.com/,590,0,186
1764782537497,1680,HTTP Request,200,OK,Test Youtube 1-10,text,true,,715044,232,2,3,https://www.youtube.com/,213,0,155
1764782537497,213,HTTP Request-0,301,Moved Permanently,Test Youtube 1-10,text,true,,2107,114,2,3,https://youtube.com/,213,0,155
1764782537710,1467,HTTP Request-1,200,OK,Test Youtube 1-10,text,true,,712937,118,2,3,https://www.youtube.com/,332,0,172
1764782538697,834,HTTP Request,200,OK,Test Youtube 1-11,text,true,,715311,232,1,2,https://www.youtube.com/,213,0,170
1764782538697,213,HTTP Request-0,301,Moved Permanently,Test Youtube 1-11,text,true,,1591,114,1,2,https://youtube.com/,213,0,170
1764782538911,620,HTTP Request-1,200,OK,Test Youtube 1-11,text,true,,713720,118,1,2,https://www.youtube.com/,360,0,225
1764782538712,918,HTTP Request 1,200,OK,Test facebook 2-13,text,true,,73283,234,1,1,https://www.facebook.com/,420,0,198
1764782538712,420,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-13,text,true,,494,115,1,1,https://facebook.com/,420,0,198
1764782539132,498,HTTP Request 1-1,200,OK,Test facebook 2-13,text,true,,72789,119,1,1,https://www.facebook.com/,398,0,88
1764782539897,529,HTTP Request,200,OK,Test Youtube 1-12,text,true,,713136,232,1,2,https://www.youtube.com/,149,0,93
1764782539897,149,HTTP Request-0,301,Moved Permanently,Test Youtube 1-12,text,true,,2107,114,1,2,https://youtube.com/,149,0,93
1764782540047,379,HTTP Request-1,200,OK,Test Youtube 1-12,text,true,,711029,118,1,2,https://www.youtube.com/,186,0,68
1764782539712,876,HTTP Request 1,200,OK,Test facebook 2-14,text,true,,73311,234,1,1,https://www.facebook.com/,299,0,91
1764782539712,299,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-14,text,true,,498,115,1,1,https://facebook.com/,299,0,91
1764782540011,577,HTTP Request 1-1,200,OK,Test facebook 2-14,text,true,,72813,119,1,1,https://www.facebook.com/,477,0,90
1764782540711,713,HTTP Request 1,200,OK,Test facebook 2-15,text,true,,73320,234,1,2,https://www.facebook.com/,257,0,65
1764782540711,257,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-15,text,true,,498,115,1,2,https://facebook.com/,257,0,65
1764782540969,455,HTTP Request 1-1,200,OK,Test facebook 2-15,text,true,,72822,119,1,2,https://www.facebook.com/,382,0,69
